item_id,category,condition,brand,model,flaw,age_months,original_price,asking_price,sold_price,currency
1,Strings,Like New,Luxilon,Synthetic Gut,None,4,1758,1649,1569,EGP
2,Strings,Like New,Luxilon,RPM Blast,None,6,1073,1148,927,EGP
3,Racket,New,Head,Pure Drive,None,0,4727,4859,4727,EGP
4,Strings,Like New,Babolat,ALU Power,None,3,1705,1803,1546,EGP
5,Bag,Like New,Wilson,Backpack,Minor,4,2934,2107,2357,EGP
6,Strings,Used,Wilson,RPM Blast,Moderate,33,1208,453,390,EGP
7,Shoes,Like New,Decathlon,Court Zoom,Minor,6,1226,1142,953,EGP
8,Shoes,New,Nike,Barricade,None,0,2719,3077,2719,EGP
9,Racket,New,Head,Pure Drive,None,0,7537,6951,7537,EGP
10,Racket,Used,Babolat,Ezone,Moderate,29,11343,4554,4100,EGP
11,Bag,Used,Wilson,6R Bag,Minor,15,6861,4065,3827,EGP
12,Racket,New,Wilson,Pro Staff,None,0,8715,8613,8715,EGP
13,Accessories,Used,Head,Grip,Major,28,293,97,87,EGP
14,Shoes,New,Decathlon,Gel Resolution,None,0,1814,2183,1814,EGP
15,Balls,New,Dunlop,US Open 3-Pack,None,0,480,513,480,EGP
16,Balls,New,Dunlop,US Open 3-Pack,None,0,342,383,342,EGP
17,Balls,New,Wilson,ATP 4-Pack,None,0,328,339,328,EGP
18,Bag,Like New,Wilson,9R Bag,None,2,3498,3581,3223,EGP
19,Shoes,Used,Nike,Court Zoom,Major,18,3886,1588,1474,EGP
20,Balls,Like New,Wilson,ATP 4-Pack,None,6,482,452,416,EGP
21,Balls,New,Dunlop,US Open 3-Pack,None,0,347,342,347,EGP
22,Balls,Used,Dunlop,ATP 4-Pack,Minor,7,464,261,298,EGP
23,Shoes,Like New,Nike,Gel Resolution,Minor,1,1297,1122,1091,EGP
24,Accessories,Used,Wilson,Wristband,Moderate,27,675,285,256,EGP
25,Strings,Like New,Luxilon,ALU Power,Minor,5,1014,897,801,EGP
26,Accessories,Like New,Head,Grip,Minor,2,454,432,376,EGP
27,Shoes,Used,Nike,Barricade,Major,34,2996,852,763,EGP
28,Balls,New,Head,Championship,None,0,686,592,686,EGP
29,Bag,New,Yonex,Backpack,None,0,4573,5583,4573,EGP
30,Accessories,New,Head,Wristband,None,0,649,745,649,EGP
31,Accessories,Used,Wilson,Grip,Moderate,33,768,273,247,EGP
32,Accessories,Like New,Wilson,Wristband,None,3,300,281,271,EGP
33,Bag,New,Wilson,6R Bag,None,0,3153,3130,3153,EGP
34,Accessories,New,Generic,Grip,None,0,346,384,346,EGP
35,Shoes,New,Adidas,Artengo,None,0,1354,1684,1354,EGP
36,Strings,Used,Wilson,Synthetic Gut,Minor,34,615,234,216,EGP
37,Racket,Used,Head,Pure Drive,Major,27,11435,3188,3537,EGP
38,Racket,Used,Wilson,Ezone,None,24,6255,3237,3202,EGP
39,Shoes,Like New,Nike,Court Zoom,None,6,1594,1334,1377,EGP
40,Shoes,Used,Adidas,Artengo,Major,23,1820,723,619,EGP
41,Accessories,Like New,Generic,Wristband,None,6,395,331,341,EGP
42,Shoes,New,Decathlon,Gel Resolution,None,0,2871,2613,2871,EGP
43,Shoes,Like New,Decathlon,Artengo,Minor,2,4303,3070,3567,EGP
44,Shoes,New,Asics,Court Zoom,None,0,2476,2625,2476,EGP
45,Racket,Like New,Yonex,Pure Drive,Minor,5,10348,9547,8182,EGP
46,Bag,New,Yonex,6R Bag,None,0,4913,5495,4913,EGP
47,Racket,Like New,Babolat,Pro Staff,None,4,10981,12046,9805,EGP
48,Racket,New,Head,Pro Staff,None,0,4021,4028,4021,EGP
49,Bag,Used,Babolat,Backpack,Major,11,6833,3305,2966,EGP
50,Accessories,Like New,Generic,Overgrip,None,3,760,663,688,EGP
51,Bag,Used,Wilson,Backpack,Major,27,3634,1367,1123,EGP
52,Bag,New,Yonex,Backpack,None,0,5545,4951,5545,EGP
53,Accessories,Like New,Wilson,Wristband,Minor,3,790,643,644,EGP
54,Balls,Like New,Wilson,ATP 4-Pack,None,2,594,561,547,EGP
55,Racket,Used,Yonex,Pro Staff,Major,30,4799,1713,1372,EGP
56,Racket,Like New,Yonex,Blade,None,4,10243,8053,9146,EGP
57,Shoes,New,Decathlon,Artengo,None,0,4045,3526,4045,EGP
58,Accessories,New,Generic,Grip,None,0,324,308,324,EGP
59,Accessories,New,Wilson,Wristband,None,0,725,825,725,EGP
60,Strings,Used,Wilson,Synthetic Gut,None,13,795,463,511,EGP
61,Strings,New,Luxilon,RPM Blast,None,0,1641,1491,1641,EGP
62,Bag,New,Babolat,Backpack,None,0,2720,2484,2720,EGP
63,Bag,New,Babolat,Backpack,None,0,4136,4848,4136,EGP
64,Racket,Used,Head,Pure Drive,None,6,6638,4179,4832,EGP
65,Balls,New,Wilson,Championship,None,0,568,678,568,EGP
66,Bag,New,Wilson,9R Bag,None,0,3825,3475,3825,EGP
67,Strings,Used,Babolat,RPM Blast,Moderate,18,862,433,402,EGP
68,Balls,Like New,Dunlop,Championship,None,2,565,645,520,EGP
69,Bag,Like New,Wilson,9R Bag,Minor,2,2934,2499,2431,EGP
70,Strings,New,Luxilon,ALU Power,None,0,564,573,564,EGP
71,Accessories,Like New,Head,Grip,None,2,663,663,610,EGP
72,Bag,Used,Wilson,9R Bag,None,17,6827,3745,4068,EGP
73,Strings,New,Wilson,RPM Blast,None,0,753,914,753,EGP
74,Bag,Used,Babolat,9R Bag,Major,12,6929,2687,2953,EGP
75,Balls,Like New,Wilson,US Open 3-Pack,None,4,358,383,319,EGP
76,Balls,Used,Wilson,ATP 4-Pack,Moderate,20,559,302,249,EGP
77,Accessories,Like New,Generic,Overgrip,None,1,524,484,490,EGP
78,Balls,New,Wilson,US Open 3-Pack,None,0,605,712,605,EGP
79,Bag,Like New,Babolat,Backpack,None,2,5595,4799,5155,EGP
80,Shoes,Used,Asics,Barricade,Minor,9,2660,1865,1656,EGP
81,Racket,Used,Babolat,Ezone,Moderate,16,7056,3697,3431,EGP
82,Accessories,Used,Wilson,Overgrip,Minor,22,594,356,285,EGP
83,Racket,New,Head,Blade,None,0,5926,6841,5926,EGP
84,Shoes,New,Nike,Barricade,None,0,2460,2621,2460,EGP
85,Shoes,Used,Asics,Court Zoom,Minor,13,4078,2039,2362,EGP
86,Racket,New,Head,Ezone,None,0,7768,7666,7768,EGP
87,Racket,Like New,Yonex,Ezone,Minor,6,9952,7866,7742,EGP
88,Strings,Like New,Luxilon,RPM Blast,Minor,5,551,441,434,EGP
89,Shoes,Like New,Nike,Gel Resolution,None,2,1549,1509,1426,EGP
90,Shoes,Used,Asics,Gel Resolution,Major,18,1510,689,572,EGP
91,Balls,New,Dunlop,Championship,None,0,244,280,244,EGP
92,Accessories,Used,Generic,Wristband,Moderate,28,191,82,70,EGP
93,Accessories,Like New,Generic,Grip,None,5,565,427,495,EGP
94,Shoes,Used,Decathlon,Court Zoom,Minor,12,1995,1228,1177,EGP
95,Accessories,Like New,Head,Grip,Minor,2,688,623,569,EGP
96,Strings,Used,Luxilon,ALU Power,Major,6,705,353,332,EGP
97,Bag,Used,Yonex,9R Bag,Minor,33,6737,2812,2448,EGP
98,Strings,Like New,Wilson,Synthetic Gut,None,6,772,594,666,EGP
99,Bag,Used,Wilson,Backpack,None,13,5466,4282,3520,EGP
100,Accessories,Used,Generic,Wristband,Minor,6,467,284,305,EGP
101,Shoes,New,Decathlon,Court Zoom,None,0,1396,1538,1396,EGP
102,Strings,Like New,Wilson,ALU Power,Minor,5,631,610,497,EGP
103,Accessories,New,Head,Grip,None,0,475,459,475,EGP
104,Racket,Like New,Yonex,Pure Drive,None,5,10545,7915,9266,EGP
105,Racket,New,Wilson,Pro Staff,None,0,11180,10131,11180,EGP
106,Accessories,Used,Generic,Wristband,Major,31,441,134,122,EGP
107,Accessories,New,Wilson,Wristband,None,0,719,642,719,EGP
108,Bag,New,Yonex,6R Bag,None,0,5204,5108,5204,EGP
109,Shoes,Used,Asics,Artengo,Minor,25,2514,1217,1130,EGP
110,Shoes,Used,Decathlon,Artengo,None,14,3441,2396,2174,EGP
111,Shoes,New,Adidas,Court Zoom,None,0,3026,3152,3026,EGP
112,Strings,New,Wilson,RPM Blast,None,0,1340,1659,1340,EGP
113,Balls,Like New,Dunlop,ATP 4-Pack,Minor,2,374,287,308,EGP
114,Accessories,Used,Head,Grip,Moderate,11,387,183,206,EGP
115,Strings,Used,Wilson,Synthetic Gut,Major,22,764,331,265,EGP
116,Balls,Used,Dunlop,US Open 3-Pack,None,7,685,580,490,EGP
117,Balls,Used,Wilson,ATP 4-Pack,None,28,328,188,152,EGP
118,Shoes,Used,Decathlon,Court Zoom,Minor,14,3921,2603,2229,EGP
119,Bag,Like New,Yonex,9R Bag,None,5,5702,4470,5010,EGP
120,Balls,Used,Head,US Open 3-Pack,None,23,292,183,152,EGP
121,Racket,Like New,Babolat,Pro Staff,Minor,3,10444,9594,8527,EGP
122,Bag,Like New,Wilson,Backpack,Minor,4,2416,1801,1941,EGP
123,Balls,Like New,Head,Championship,Minor,6,552,526,428,EGP
124,Shoes,Used,Decathlon,Artengo,Minor,9,2701,2011,1681,EGP
125,Strings,New,Babolat,ALU Power,None,0,963,985,963,EGP
126,Balls,Used,Dunlop,Championship,Major,24,567,172,187,EGP
127,Balls,Used,Wilson,Championship,None,24,357,165,182,EGP
128,Strings,Used,Wilson,Synthetic Gut,Major,23,1373,579,467,EGP
129,Balls,Used,Head,US Open 3-Pack,Major,7,231,99,106,EGP
130,Balls,New,Head,Championship,None,0,584,693,584,EGP
131,Bag,Like New,Babolat,6R Bag,Minor,4,5652,5611,4541,EGP
132,Bag,Like New,Wilson,9R Bag,Minor,5,6796,6647,5373,EGP
133,Bag,New,Babolat,6R Bag,None,0,5963,6291,5963,EGP
134,Bag,Like New,Babolat,6R Bag,Minor,5,1847,1780,1459,EGP
135,Racket,New,Wilson,Pro Staff,None,0,5835,6081,5835,EGP
136,Balls,New,Wilson,US Open 3-Pack,None,0,580,675,580,EGP
137,Racket,Like New,Babolat,Blade,Minor,3,11240,10980,9177,EGP
138,Racket,New,Head,Pro Staff,None,0,8688,9239,8688,EGP
139,Racket,Used,Yonex,Pure Drive,Major,8,7920,3665,3623,EGP
140,Shoes,Used,Nike,Gel Resolution,None,11,4077,2487,2723,EGP
141,Balls,New,Head,Championship,None,0,628,740,628,EGP
142,Balls,New,Dunlop,Championship,None,0,289,253,289,EGP
143,Shoes,Like New,Decathlon,Gel Resolution,Minor,4,2505,2417,2012,EGP
144,Balls,Used,Head,US Open 3-Pack,Moderate,29,376,129,135,EGP
145,Bag,Used,Yonex,6R Bag,Minor,25,5557,2608,2500,EGP
146,Bag,Used,Wilson,6R Bag,Major,8,1866,728,853,EGP
147,Balls,Like New,Head,ATP 4-Pack,None,4,343,262,305,EGP
148,Shoes,New,Nike,Barricade,None,0,2070,2566,2070,EGP
149,Bag,Used,Yonex,9R Bag,Minor,36,5417,1948,1792,EGP
150,Racket,Like New,Head,Blade,None,6,9391,8901,8117,EGP
151,Shoes,Like New,Adidas,Court Zoom,Minor,1,2541,2126,2138,EGP
152,Racket,Like New,Wilson,Pure Drive,None,6,5800,5288,5014,EGP
153,Shoes,New,Decathlon,Artengo,None,0,4013,4908,4013,EGP
154,Racket,Like New,Yonex,Pro Staff,Minor,3,10550,9116,8613,EGP
155,Strings,Like New,Wilson,RPM Blast,Minor,2,1314,1250,1089,EGP
156,Racket,Like New,Wilson,Pure Drive,Minor,6,11560,7792,8993,EGP
157,Strings,Like New,Babolat,ALU Power,Minor,4,1622,1523,1302,EGP
158,Strings,Used,Luxilon,Synthetic Gut,None,7,589,483,421,EGP
159,Shoes,Used,Decathlon,Artengo,Minor,8,1525,1196,965,EGP
160,Racket,Like New,Head,Pure Drive,None,5,4865,4205,4275,EGP
161,Accessories,Used,Generic,Overgrip,Minor,19,230,110,117,EGP
162,Racket,Like New,Wilson,Pure Drive,None,6,11972,11035,10349,EGP
163,Accessories,Like New,Wilson,Overgrip,None,3,788,672,714,EGP
164,Racket,New,Yonex,Ezone,None,0,6894,6580,6894,EGP
165,Shoes,New,Adidas,Gel Resolution,None,0,3440,3952,3440,EGP
166,Racket,Used,Yonex,Pro Staff,Moderate,27,5836,2453,2221,EGP
167,Accessories,Like New,Wilson,Overgrip,Minor,3,421,416,342,EGP
168,Bag,Used,Yonex,9R Bag,Moderate,15,6341,3312,3144,EGP
169,Bag,New,Wilson,6R Bag,None,0,4755,5543,4755,EGP
170,Shoes,Like New,Adidas,Court Zoom,Minor,3,3404,3036,2778,EGP
171,Balls,Used,Wilson,ATP 4-Pack,None,30,361,154,158,EGP
172,Strings,Used,Luxilon,RPM Blast,Major,31,1756,574,488,EGP
173,Balls,Like New,Dunlop,US Open 3-Pack,Minor,6,438,381,340,EGP
174,Accessories,New,Generic,Grip,None,0,477,480,477,EGP
175,Bag,Used,Babolat,9R Bag,Minor,15,5001,2374,2790,EGP
176,Bag,Used,Wilson,Backpack,None,8,1609,1126,1132,EGP
177,Shoes,New,Asics,Court Zoom,None,0,1834,1944,1834,EGP
178,Racket,Like New,Yonex,Pure Drive,None,2,9643,7709,8885,EGP
179,Balls,New,Wilson,US Open 3-Pack,None,0,625,592,625,EGP
180,Strings,Used,Babolat,Synthetic Gut,Major,14,534,255,218,EGP
181,Shoes,Like New,Asics,Barricade,Minor,1,1864,1846,1569,EGP
182,Balls,Used,Head,Championship,Moderate,35,462,152,140,EGP
183,Accessories,Used,Head,Wristband,Moderate,9,298,202,164,EGP
184,Racket,Like New,Babolat,Ezone,Minor,4,8254,6557,6633,EGP
185,Balls,Used,Dunlop,ATP 4-Pack,Minor,31,494,188,189,EGP
186,Shoes,New,Decathlon,Artengo,None,0,3212,3845,3212,EGP
187,Shoes,New,Asics,Artengo,None,0,2705,3309,2705,EGP
188,Racket,New,Yonex,Pure Drive,None,0,8600,10271,8600,EGP
189,Accessories,Like New,Generic,Wristband,None,6,240,237,207,EGP
190,Shoes,Like New,Nike,Gel Resolution,None,2,2008,2043,1849,EGP
191,Strings,Used,Babolat,Synthetic Gut,Moderate,8,480,267,269,EGP
192,Strings,Used,Wilson,RPM Blast,Moderate,27,573,265,217,EGP
193,Strings,Like New,Luxilon,RPM Blast,Minor,6,743,695,577,EGP
194,Shoes,New,Nike,Artengo,None,0,1406,1532,1406,EGP
195,Accessories,Used,Wilson,Grip,None,25,363,185,180,EGP
196,Bag,New,Babolat,9R Bag,None,0,3195,3884,3195,EGP
197,Bag,Like New,Babolat,Backpack,None,5,4100,3159,3602,EGP
198,Balls,New,Dunlop,Championship,None,0,281,332,281,EGP
199,Strings,Used,Wilson,RPM Blast,Moderate,25,1088,532,435,EGP
200,Accessories,New,Head,Wristband,None,0,270,305,270,EGP
201,Racket,New,Yonex,Blade,None,0,5832,5569,5832,EGP
202,Accessories,New,Generic,Wristband,None,0,489,422,489,EGP
203,Accessories,Used,Head,Overgrip,Minor,21,446,273,219,EGP
204,Racket,New,Wilson,Ezone,None,0,7034,6277,7034,EGP
205,Racket,New,Babolat,Ezone,None,0,10265,11991,10265,EGP
206,Racket,New,Head,Ezone,None,0,5979,5743,5979,EGP
207,Shoes,Used,Decathlon,Barricade,Moderate,7,4270,2262,2444,EGP
208,Accessories,Used,Head,Grip,None,31,680,337,290,EGP
209,Shoes,Used,Asics,Court Zoom,Minor,30,2682,1284,1062,EGP
210,Strings,New,Wilson,ALU Power,None,0,1790,1533,1790,EGP
211,Strings,Like New,Babolat,Synthetic Gut,None,3,1170,1188,1061,EGP
212,Shoes,Like New,Nike,Barricade,None,3,2352,2022,2133,EGP
213,Balls,Like New,Dunlop,ATP 4-Pack,Minor,4,688,477,551,EGP
214,Strings,Like New,Luxilon,Synthetic Gut,Minor,1,1101,1116,926,EGP
215,Bag,New,Yonex,6R Bag,None,0,3289,3332,3289,EGP
216,Shoes,New,Adidas,Court Zoom,None,0,2761,2696,2761,EGP
217,Racket,Like New,Yonex,Blade,None,2,6007,5396,5534,EGP
218,Shoes,Like New,Nike,Artengo,None,3,2926,2819,2654,EGP
219,Balls,New,Wilson,ATP 4-Pack,None,0,354,335,354,EGP
220,Balls,Used,Wilson,Championship,Moderate,11,495,253,264,EGP
