record_id,category,subcategory,brand,product_line,variant,model_name,production_year,generation_tag,launch_year_est,end_year_est,tier,price_usd_msrp_est,egypt_original_price_egp_est,egypt_current_replacement_price_egp_est,egypt_direct_price_egp_if_seen,usd_egp_rate_used,egypt_import_retail_multiplier,price_source_type,confidence,global_source_url,egypt_source_url,aliases_for_fuzzy_matching,training_use_note,notes
TCAT-000001,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2018,2018-2019 generation,2018,2026,bag,28.29,650,2350,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000002,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2019,2018-2019 generation,2018,2026,bag,29.08,600,2350,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000003,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2020,2020-2021 generation,2018,2026,bag,29.89,600,2350,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000004,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2021,2020-2021 generation,2018,2026,bag,30.73,600,2350,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000005,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2022,2022-2023 generation,2018,2026,bag,31.59,750,2350,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000006,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2023,2022-2023 generation,2018,2026,bag,32.48,1250,2350,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000007,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2024,2024-2025 generation,2018,2026,bag,33.38,2000,2350,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000008,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2025,2024-2025 generation,2018,2026,bag,34.32,2100,2350,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000009,Bag,Tennis bag,Artengo,Tennis Bag,Backpack,Artengo Tennis Bag Backpack,2026,2026 generation/current,2018,2026,bag,35.28,2350,2350,,52.97,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag Backpack; Tennis Bag Backpack; artengo tennis bag backpack; tennis bag backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,
TCAT-000010,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2018,2018-2019 generation,2018,2026,bag,39.29,900,3250,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
